Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,,,,,,,,,,,,,,,Corresponding action/justification to refactor the smell
G22Trelo,com0.G22Trello,ConfigWeb,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,Ignore the smell because the class is auto generated.
G22Trelo,com0.G22Trello,G22TreloApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,Ignore the smell because the class is auto generated.
G22Trelo,com0.G22Trello,TaskServiceTest,Feature Envy,The tool detected a instance of this smell because assignMemberInValidUserTest is more interested in members of the type: TaskService,,,,,,,,,,,,,,,,False-positive
G22Trelo,com0.G22Trello.controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,It is used to serve a specific known purpose.
G22Trelo,com0.G22Trello.controller,HomeController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,It is used to serve a specific known purpose.
G22Trelo,com0.G22Trello.controller,TaskController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,It is used to serve a specific known purpose.
G22Trelo,com0.G22Trello.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,It is used to serve a specific known purpose.
G22Trelo,com0.G22Trello.controller,WorkspaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,,,,,,,,,,,,,It is used to serve a specific known purpose.
G22Trelo,com0.G22Trello.model,Board,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Workspace; Board,,,,,,,,,,,,,,,,To overcome the cyclic dependency have deleted the direct relationship between workspace and board as we realized that no direct relationship is needed. They still have indirect relationship through User.
G22Trelo,com0.G22Trello.model,Task,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods,,,,,,,,,,,,,,,,Deleted some unnecessary mutators and accessors.
G22Trelo,com0.G22Trello.model,User,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods,,,,,,,,,,,,,,,,Deleted some unnecessary mutators and accessors.
